Enquete;Tire;xDeb;nbMots;Tour de parole
Nawal7_220618.TextGrid;Nawal;5661.95;15;Et je vois hein t'as décidé qu'on continue aussi à la maison euh.;
Nawal7_220618.TextGrid;Nawal;5666.43;7; ouais tu vas parler avec ta meuf@s.;
Nawal7_220618.TextGrid;Nawal;5670.99;15;Le tram@s ça s'arrête à quelle heure là il y a toujours le tram@s ?;
Nawal7_220618.TextGrid;Nawal;5676.20;4;On est le mh.;
Nawal7_220618.TextGrid;Nawal;5681.20;10;Il est une heure là ouais on y va là.;
Nawal7_220618.TextGrid;Nawal;5685.29;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;5688.10;1;Attends.;
Nawal7_220618.TextGrid;Nawal;5690.93;16;Attends on va v- on va on va voir là là si je vois rien moi.;
Nawal7_220618.TextGrid;Nawal;5697.06;4;Ben merci Youssef@a hein.;
Nawal7_220618.TextGrid;Nawal;5700.07;8;Attends mh comment on fait pause là maintenant.;
Nawal7_220618.TextGrid;Nawal;5704.13;7;Non att- attends on va faire pause.;
Nawal7_220618.TextGrid;Nawal;5706.29;11;Et il est en pause là il est pas en pause.;
Nawal7_220618.TextGrid;Nawal;5708.90;3;Là ça marche.;
Nawal7_220618.TextGrid;Nawal;5713.06;0;.;
Nawal7_220618.TextGrid;Nawal;5714.83;11;On disait quoi là les sûrement euh sûrement les enfants dorment.;
Nawal7_220618.TextGrid;Nawal;5720.20;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;5721.69;5;On continue à à parler.;
Nawal7_220618.TextGrid;Nawal;5724.52;26;Mais ça va hein là t'as pas touché ton téléphone hein c'est une thérapie hein tu devrais faire  tu devrais faire tu devrais faire.;
Nawal7_220618.TextGrid;Nawal;5733.61;7; comment ça t'as pas d'amis ?;
Nawal7_220618.TextGrid;Nawal;5737.31;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;5739.12;9;Tu as t'as ramené les clés avec toi ?;
Nawal7_220618.TextGrid;Nawal;5742.12;5;Ah ben c'est bien.;
Nawal7_220618.TextGrid;Nawal;5745.90;12;Elle est où la cité dont tu m'as parlée elle est ;
Nawal7_220618.TextGrid;Nawal;5752.31;3;Là c'est.;
Nawal7_220618.TextGrid;Nawal;5754.14;2;Ah bon ?;
Nawal7_220618.TextGrid;Nawal;5756.03;1;Là ?;
Nawal7_220618.TextGrid;Nawal;5758.72;12;Mais comment ça se fait que c'est une cité chaude@s x.;
Nawal7_220618.TextGrid;Nawal;5768.80;9;Ben oui hein ça à l'air tranquille hein.;
Nawal7_220618.TextGrid;Nawal;5772.69;11;Moi je vois des frérots là et pas des gens avec.;
Nawal7_220618.TextGrid;Nawal;5777.44;3;Tu en vois.;
Nawal7_220618.TextGrid;Nawal;5780.06;32;Des frères mus@s en djellaba mais tu sais  il y a c'est ma collègue Darris@a eh euh les frères mus@s euh  là quand ils a l'Algérie a gagné euh l-.;
Nawal7_220618.TextGrid;Nawal;5794.20;1; nan.;
Nawal7_220618.TextGrid;Nawal;5795.97;0;.;
Nawal7_220618.TextGrid;Nawal;5799.42;2;Ah oui.;
Nawal7_220618.TextGrid;Nawal;5806.56;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;5811.66;3;Tu as pleuré ?;
Nawal7_220618.TextGrid;Nawal;5813.43;2;De joie ?;
Nawal7_220618.TextGrid;Nawal;5825.88;3;Ils ont x.;
Nawal7_220618.TextGrid;Nawal;5834.58;1;x.;
Nawal7_220618.TextGrid;Nawal;5835.73;3;Et t'as.;
Nawal7_220618.TextGrid;Nawal;5855.40;3;C'est sympa.;
Nawal7_220618.TextGrid;Nawal;5856.98;5;Quand tu disais le foot@s.;
Nawal7_220618.TextGrid;Nawal;5859.48;7;Euh nan euh quand elle a gagné.;
Nawal7_220618.TextGrid;Nawal;5865.79;1;xx.;
Nawal7_220618.TextGrid;Nawal;5869.28;2;Mais euh.;
Nawal7_220618.TextGrid;Nawal;5870.34;19;Mais ma ma coll- ouais mais ma collègue là elle arrêtait pas de de parler d- mal des algériens.;
Nawal7_220618.TextGrid;Nawal;5880.13;9;C'est vrai ils ont brulé des voitures hein.;
Nawal7_220618.TextGrid;Nawal;5886.48;1;Nan.;
Nawal7_220618.TextGrid;Nawal;5890.51;1;Mais.;
Nawal7_220618.TextGrid;Nawal;5915.30;4;Ouais et même ça.;
Nawal7_220618.TextGrid;Nawal;5921.01;1;Ouais.;
Nawal7_220618.TextGrid;Nawal;5924.83;29;Ouais parce que elle elle était pire en plus moi à Nanterre ils m'ont pas laissée dormir moi je suis pas j'ai même pas regardé le match.;
Nawal7_220618.TextGrid;Nawal;5933.54;5;Mais justement c'est ce .;
Nawal7_220618.TextGrid;Nawal;5947.06;1;Mh.;
Nawal7_220618.TextGrid;Nawal;5962.77;1;Mh.;
Nawal7_220618.TextGrid;Nawal;5964.77;8;Et le match de l'Allemagne aussi euh.;
Nawal7_220618.TextGrid;Nawal;5968.32;5;Le match de l'Allemagne.;
Nawal7_220618.TextGrid;Nawal;5972.07;5;Mais fièrement tu vois mais.;
Nawal7_220618.TextGrid;Nawal;5975.21;1;Exactement.;
Nawal7_220618.TextGrid;Nawal;5984.52;3;Tu as vu.;
Nawal7_220618.TextGrid;Nawal;5985.86;2;Une première.;
Nawal7_220618.TextGrid;Nawal;5988.42;1;Mh.;
Nawal7_220618.TextGrid;Nawal;5989.92;3;Nan mais x.;
Nawal7_220618.TextGrid;Nawal;5996.86;1;Mh.;
Nawal7_220618.TextGrid;Nawal;5998.66;22;Non mais je je suis d'accord mais mais alors ils arrêtaient pas de parler de ça moi ça m'a énervée.;
Nawal7_220618.TextGrid;Nawal;6006.83;31; il m'a dit ils ont réveillé ma fille euh à une heure de matin ils criaient mais c'est vrai que moi aussi ils m'ont pas laissée dormir hein.;
Nawal7_220618.TextGrid;Nawal;6015.16;11;Une heure à Nanterre à Nanterre bon Nanterre tu vois x.;
Nawal7_220618.TextGrid;Youssef;4.78134;7;Ah oui naal sheytan@s c'est ça.;
Nawal7_220618.TextGrid;Youssef;9.63747;8;Là y avait plein de trucs comme ça.;
Nawal7_220618.TextGrid;Youssef;12.3122;0;;
Nawal7_220618.TextGrid;Youssef;12.9095;6;Et des maladies  c'est là.;
Nawal7_220618.TextGrid;Youssef;16.9366;0;.;
Nawal7_220618.TextGrid;Youssef;24.1799;9;A coté du xx non là c'est bon.;
Nawal7_220618.TextGrid;Youssef;29.9808;2;Hum voilà.;
Nawal7_220618.TextGrid;Youssef;45.4681;4;Vas-y là il entend ?;
Nawal7_220618.TextGrid;Youssef;49.2780;3;S'en fou.;
Nawal7_220618.TextGrid;Youssef;51.3370;1;Non.;
Nawal7_220618.TextGrid;Youssef;56.8943;7;Ouais c'est un normal comme ça.;
Nawal7_220618.TextGrid;Youssef;62.3611;1; Donc.;
Nawal7_220618.TextGrid;Youssef;65.9809;4;Euh enfin il verra.;
Nawal7_220618.TextGrid;Youssef;68.4219;6;Et c'est la coupe hein.;
Nawal7_220618.TextGrid;Youssef;70.5328;2;La coupa@s.;
Nawal7_220618.TextGrid;Youssef;71.4569;3;La coupa@s ha.;
Nawal7_220618.TextGrid;Youssef;73.0443;8;Elle est bien hein non elle est bien.;
Nawal7_220618.TextGrid;Youssef;75.2591;5;C'est la classe ça.;
Nawal7_220618.TextGrid;Youssef;78.7055;21;Nan je l'ai fait   je l'ai fait sur ah la photo ouais je l'ai fait à la plage.;
Nawal7_220618.TextGrid;Youssef;82.9483;5;Euh Ouais ouais à Palavas.;
Nawal7_220618.TextGrid;Youssef;87.9343;3;Playa@s la plage.;
Nawal7_220618.TextGrid;Youssef;90.0464;2;La playa@s.;
Nawal7_220618.TextGrid;Youssef;91.7366;7;C'est le langage des jeunes ça.;
Nawal7_220618.TextGrid;Youssef;93.2060;1;xx;
Nawal7_220618.TextGrid;Youssef;96.4534;4;Nan c'est espagnol.;
Nawal7_220618.TextGrid;Youssef;98.2318;1;Ouais.;
Nawal7_220618.TextGrid;Youssef;98.9884;11;Playa@s playa@s tu connais pas la musique vamos à la playa@s ?;
Nawal7_220618.TextGrid;Youssef;103.221;1;Ah.;
Nawal7_220618.TextGrid;Youssef;103.844;3;C'est espagnol.;
Nawal7_220618.TextGrid;Youssef;106.025;27;Donc voilà euh ouais donc la photo ouais je l'ai prise là et je l'ai prise euh elle date de il y a une semaine.;
Nawal7_220618.TextGrid;Youssef;113.566;3;Une  une semaine.;
Nawal7_220618.TextGrid;Youssef;116.771;1;Ouais.;
Nawal7_220618.TextGrid;Youssef;117.530;12;Avec ma petite coupe mais c'est pas ça ma coupe hein.;
Nawal7_220618.TextGrid;Youssef;121.372;11;Tu l'as vue avec ma mon petit chignon beau gosse.;
Nawal7_220618.TextGrid;Youssef;125.896;3;Avec le gel.;
Nawal7_220618.TextGrid;Youssef;128.931;39;Mais c'est pas comme ça c'est pas pareil là je venais de je venais de nager c'était quand  revenait xx quoi non là c'est la serviette mais je l'ai mis en noir et blanc.;
Nawal7_220618.TextGrid;Youssef;140.413;1;Design.;
Nawal7_220618.TextGrid;Youssef;143.027;64;Euh non euh après ouais franchement je l'ai je l'ai prise je l'ai mise sur euh une application parce que entre potes on on on on peut s'envoyer des images tu peux en rajouter d'autres et ça cumule sur ton histoire et ensuite quand on clique ton un bouton ben on voit toutes les photos que tu as pris.;
Nawal7_220618.TextGrid;Youssef;163.317;22;C'est comme un réseau so- c'est comme facebook mais que des photos et tu peux envoyer des courts messages snapchat.;
Nawal7_220618.TextGrid;Youssef;170.188;60;Tu connais snapchat ben c'est sur snapchat et je l'ai mise sur mon histoire dans snapchat et ma copine elle l'a prise dessus et le soir je voulais lui envoyer je lui ai dit tiens j'ai une photo pour toi puis je l'ai envoyée elle m'a dit nan mais je l'ai déjà pris.;
Nawal7_220618.TextGrid;Youssef;182.540;0;.;
Nawal7_220618.TextGrid;Youssef;184.618;20;Ouais t- en fait avec l'Iphone t- enfin avec les téléphones tous les smartphones tu peux capturer d'écran.;
Nawal7_220618.TextGrid;Youssef;191.193;11;Zaama@s moi regarde je vais regarder la photo de lui là.;
Nawal7_220618.TextGrid;Youssef;195.656;4;C'est mon cousin.;
Nawal7_220618.TextGrid;Youssef;198.148;11; là j'ai c- j'ai fait une capture d'écran.;
Nawal7_220618.TextGrid;Youssef;201.841;2;Donc clac.;
Nawal7_220618.TextGrid;Youssef;204.086;10;Je vais sur une photo pellicule et je la retrouve.;
Nawal7_220618.TextGrid;Youssef;207.955;8;Et elle elle avait fait la même chose.;
Nawal7_220618.TextGrid;Youssef;210.917;13;Ouais enfin n'importe qui tous ceux qui euh t- tous tes amis.;
Nawal7_220618.TextGrid;Youssef;214.942;13;Ceux que tu as dans tes amis sur snap ils peuvent les prendre.;
Nawal7_220618.TextGrid;Youssef;220.762;1;Ilyes@a.;
Nawal7_220618.TextGrid;Youssef;223.107;9;Il a fait la même coupe comme moi lui.;
Nawal7_220618.TextGrid;Youssef;224.826;8;Regarde je vais il commence à la faire.;
Nawal7_220618.TextGrid;Youssef;227.890;2;Ouais raides.;
Nawal7_220618.TextGrid;Youssef;229.163;17;Et il a pas les mêmes cheveux que ouais lui il a les cheveux de beau gosse.;
Nawal7_220618.TextGrid;Youssef;233.110;1;Si.;
Nawal7_220618.TextGrid;Youssef;238.076;11;Non pas du tout moi j'ai fait un lissage là.;
Nawal7_220618.TextGrid;Youssef;242.529;1;Voilà.;
Nawal7_220618.TextGrid;Youssef;243.627;2;Et ouais.;
Nawal7_220618.TextGrid;Youssef;245.675;21;Et puis je l'ai pas payé cher je m'en fous je l'ai fait en bas de chez moi.;
Nawal7_220618.TextGrid;Youssef;249.989;7;En bas de chez moi soixante euros.;
Nawal7_220618.TextGrid;Youssef;251.799;12;Cha- ça c'est une renoi@s qui me l'a fait donc.;
Nawal7_220618.TextGrid;Youssef;255.326;5;Ah c'est une renoi@s.;
Nawal7_220618.TextGrid;Youssef;257.126;1;Ouais.;
Nawal7_220618.TextGrid;Youssef;259.680;24;Nan c'est elle qui me l'a ramené elle l'a elle l'a commandé pour moi et elle me l'a fait.;
Nawal7_220618.TextGrid;Youssef;264.255;10;Euh nan elle a elle a elle a un fournisseur.;
Nawal7_220618.TextGrid;Youssef;266.956;7;Leur système de blacks@s  je connais aps@s.;
Nawal7_220618.TextGrid;Youssef;270.150;10;Et tu vois moi je paye ils me le font.;
Nawal7_220618.TextGrid;Youssef;273.846;6;Soixante au lieu de cent vingts.;
Nawal7_220618.TextGrid;Youssef;276.743;8;Parce que c'est cent vingt le brésilien.;
Nawal7_220618.TextGrid;Youssef;280.004;13;Ouais  normalement après y en a qui font plus  maximum deux cents euros.;
Nawal7_220618.TextGrid;Youssef;285.528;3;Ouais sur Paris.;
Nawal7_220618.TextGrid;Youssef;287.861;22;Après il y en a il le font il y en a je connais des gens qui le font aussi chez eux.;
Nawal7_220618.TextGrid;Youssef;294.296;2;Ça va.;
Nawal7_220618.TextGrid;Youssef;295.383;18;Comparé au boulevard là si on se met sur l'avenue à côté de le euh l'épicerie.;
Nawal7_220618.TextGrid;Youssef;299.921;18;Trop il y a trop de bruit trop de passage je le fais tous les soirs je sors.;
Nawal7_220618.TextGrid;Youssef;305.230;32;Vu que tous les soirs je sors je j'ai vu tout à l'heure je suis venu là  j'ai fait un tour je me suis assis là  fumé une cigarette.;
Nawal7_220618.TextGrid;Youssef;313.058;7;Parti là-bas j'ai fait le tour .;
Nawal7_220618.TextGrid;Youssef;319.148;5;Si c'est Paname@s hein.;
Nawal7_220618.TextGrid;Youssef;321.481;4;Paname@s tu peux pas.;
Nawal7_220618.TextGrid;Youssef;323.908;7;Je suis pas français je suis parisien.;
Nawal7_220618.TextGrid;Youssef;327.838;12;Tu la connais pas celle-là je suis pas français je suis parisien.;
Nawal7_220618.TextGrid;Youssef;331.076;21;Ouais  ah parisien c'est  c'est un autre délire je me sens plus à l'aise à Paris qu'ici.;
Nawal7_220618.TextGrid;Youssef;337.762;12;Mais après ici voilà ça fait une semaine que je débarque ici.;
Nawal7_220618.TextGrid;Youssef;342.183;5;J'ai pas de repère.;
Nawal7_220618.TextGrid;Youssef;344.949;10;Ah les repères que j'ai c'est la boulangerie.;
Nawal7_220618.TextGrid;Youssef;348.827;5;Le banc celui-là là-bas aussi.;
Nawal7_220618.TextGrid;Youssef;351.804;3;Et la ville.;
Nawal7_220618.TextGrid;Youssef;354.869;12;Ouais avec le temps voilà c'est avec le temps qu'on.;
Nawal7_220618.TextGrid;Youssef;359.199;6;J'ai pas d'amis là.;
Nawal7_220618.TextGrid;Youssef;361.672;13;Ben et ouais c'est possible après je sais pas je suis pas.;
Nawal7_220618.TextGrid;Youssef;366.448;14;Ben ouais puisque je suis sociable mais après euh j'ai déjà des potes.;
Nawal7_220618.TextGrid;Youssef;371.389;12;Et c'est pas une trahison mais je sais pas c'est.;
Nawal7_220618.TextGrid;Youssef;375.199;22;Ouais ouais ouais il y en a ils vont venir il y en a il y en a beaucoup qui vont venir.;
Nawal7_220618.TextGrid;Youssef;379.378;7;Pour les vacances là j'ai des.;
Nawal7_220618.TextGrid;Youssef;382.754;19;Ben il y en a ils sont au bled@s mais j'ai déjà des potes qui veulent venir là.;
Nawal7_220618.TextGrid;Youssef;387.367;35;J'en ai un là il part là je ben je monte demain euh sur paname@s donc je monte demain sur paname@s et je vais le voir à la fin de cette semaine il part.;
Nawal7_220618.TextGrid;Youssef;395.972;19;Euh non le kabyle il reste là pour essayer de il travaille lui il travaille il fait une alternance.;
Nawal7_220618.TextGrid;Youssef;402.293;6;Il fait une alternance vente euh.;
Nawal7_220618.TextGrid;Youssef;411.201;2;Le kabyle ?;
Nawal7_220618.TextGrid;Youssef;419.142;6;Nan ça c'est un autre.;
Nawal7_220618.TextGrid;Youssef;421.121;8;Ah j'ai eu deux deux potes kabyles.;
Nawal7_220618.TextGrid;Youssef;423.234;5;Des potes bizarres les kabyles.;
Nawal7_220618.TextGrid;Youssef;425.744;13; ils sont ils sont bizarres ils font que des bétises que des gaffes.;
Nawal7_220618.TextGrid;Youssef;430.890;21;Ah que de conneries les k- ah les deux kabyles déjà ben il y en a un voilà il a travaillé.;
Nawal7_220618.TextGrid;Youssef;436.330;18;Il a travaillé avec moi je l'ai on l'a on l'a fait rentrer au piston.;
Nawal7_220618.TextGrid;Youssef;440.346;12;Je l'ai fait bosser à Planet Sushi en tant que livreur.;
Nawal7_220618.TextGrid;Youssef;444.702;13;Au bout d'une semaine déjà b- il a commencé euh une semaine.;
Nawal7_220618.TextGrid;Youssef;449.707;2;Sans papiers.;
Nawal7_220618.TextGrid;Youssef;451.246;44;Et il ouais on lui a pas fait de contrat rien ça veut dire il bossait gratuitement ils l'ont pas payé  il a baissé borré bossé bénévolement après moi j'ai pris la tête au directeur pour qu'il compense il lui rajoute.;
Nawal7_220618.TextGrid;Youssef;463.390;11;Et au bout du deu- après cette semaine là deux jours.;
Nawal7_220618.TextGrid;Youssef;467.243;8;Deux jours passés il a fait un accident.;
Nawal7_220618.TextGrid;Youssef;470.312;3;En scooter ouais.;
Nawal7_220618.TextGrid;Youssef;472.859;48;Il est rentré dans un mec@s il était en tort et tout ça ça veut dire maintenant euh la franchise c'est lui il devait la payer parce que c'est lui qui était une tort c'est pas le p- la société qui va payer sa gaffe.;
Nawal7_220618.TextGrid;Youssef;486.330;8;Donc euh  il a bossé en tout euh.;
Nawal7_220618.TextGrid;Youssef;492.325;57;Une semaine deux jours et il a fait un arrêt il a même pas fait d'arrêt il a même pas fait d'arrêt de travail il a bossé trois semaines il a été payé sept cents euros mais les sept cents euros c'est la franchise qui l'ont prise donc il a touché aucune argent.;
Nawal7_220618.TextGrid;Youssef;507.137;7;Ouais comme ci il avait pas travaillé.;
Nawal7_220618.TextGrid;Youssef;509.696;24;Après voilà l'autre euh c'est à cause de lui que j'ai mal à la p- à l'épaule l'autre kabyle.;
Nawal7_220618.TextGrid;Youssef;514.578;2;Ah ouais.;
Nawal7_220618.TextGrid;Youssef;516.570;44;Non non non non parce que j'avais fait un accident avec un pote un moi là le kabyle ouais là là il y a une il y a une semaine de ça avant de venir  trois jours ou quatre jours avant de venir.;
Nawal7_220618.TextGrid;Youssef;526.060;25;Avant de débarquer pour euh Montpellier ouais  euh bêtement en plus sur un petit virage il a pas regardé devant lui il regardait un mec@s.;
Nawal7_220618.TextGrid;Youssef;535.678;13;Parce que le mec@s il l'a regardé crari@s euh  bataille de regard.;
Nawal7_220618.TextGrid;Youssef;540.565;98;Alors que rien à foutre du mec hein on le connait pas il le connait pas on s'en on se connait pas on s'en fout complètement et en plus au au final le mec il le connaissait pas et il est même pas il est parti le voir euh moi personnellement il me regarde je le regarde je suis en scooter je fais un accident je viens le v- je vais le voir je vais l'embrouiller je vais je vais m'embrouiller avec lui parce que à cause de lui j'ai fait un accident.;
Nawal7_220618.TextGrid;Youssef;562.155;23;Au final il a rien fait on s'est fait mal il s'est fait mal à l- au poignet j'avais des.;
Nawal7_220618.TextGrid;Youssef;567.532;51;C'était même pas à lui c'était à un petit  il a rien x il a rien il lui a dit tiens ton ton scooter il a rien fait  une connerie de il a fait une connerie une gaffe de kabyle comme on appelle chez nous une gaffe de kebayli@s.;
Nawal7_220618.TextGrid;Youssef;583.031;9;Ouais lui c'est que un mec@s à gaffe.;
Nawal7_220618.TextGrid;Youssef;586.797;8;Euh nan je connais toujours les mêmes mots.;
Nawal7_220618.TextGrid;Youssef;590.897;14;Je connais toujours les mêmes mots kabyles takbaylith@s je connais aghroum@s je connais awide@s.;
Nawal7_220618.TextGrid;Youssef;595.408;1;Dachouth@s.;
Nawal7_220618.TextGrid;Youssef;598.059;6;Euh nan c'est ma mère.;
Nawal7_220618.TextGrid;Youssef;600.29 ;2;Et euh.;
Nawal7_220618.TextGrid;Youssef;602.308;15;Ouais au village je me débrouille ouais tout le temps  chez moi je parle arabe.;
Nawal7_220618.TextGrid;Youssef;609.994;6;En français en arabe x ouais.;
Nawal7_220618.TextGrid;Youssef;615.811;27;Dans ma vie en français avec Ilyes@a pas en même en verlan avec Ilyes@a wesh@s bien ou quoi tranquille ça va c'est langage du quartier xxx.;
Nawal7_220618.TextGrid;Youssef;624.218;14;Bah c'est le langage différent de celui qu'on parle par exemple là.;
Nawal7_220618.TextGrid;Youssef;627.794;12; ouais c'est là c'est pas du tout le même délire.;
Nawal7_220618.TextGrid;Youssef;632.301;3;C'est ben.;
Nawal7_220618.TextGrid;Youssef;634.399;10;xx xxx dans la vie de tous les jours où.;
Nawal7_220618.TextGrid;Youssef;638.930;25;Euh c'est dans la vie de tous les jours il euh il habite dans un quartier j'habite dans x un autre quartier quoi.;
Nawal7_220618.TextGrid;Youssef;645.625;3;Dans le vingtième.;
Nawal7_220618.TextGrid;Youssef;647.254;6;Ouais dans le vingtième sur Paris.;
Nawal7_220618.TextGrid;Youssef;650.715;59;Ouais j'habite dans une cité il y a beaucoup de cités d- il y a beaucoup de cités dans Paris  beaucoup beaucoup beaucoup de cités elles sont pas bien sûr dans le vingtième aussi dans dans chaque arrondissement il y a très peu bon il y a deux deux troix arrondissements où il y a pas de cités.;
Nawal7_220618.TextGrid;Youssef;667.184;29;Euh ça s'est t- ça ça s'est beaucoup calmé il y en a beaucoup qui sont morts il y en a beaucoup qui sont partis en prison.;
Nawal7_220618.TextGrid;Youssef;673.265;8;Et très peu qui sont partis du quartier.;
Nawal7_220618.TextGrid;Youssef;676.341;15;Ouais mais ça s'est calmé à cause de ça mais c'était plutôt chaud@s.;
Nawal7_220618.TextGrid;Youssef;681.218;1;Ouais.;
Nawal7_220618.TextGrid;Youssef;682.099;6;C'était très très chaud@s même.;
Nawal7_220618.TextGrid;Youssef;684.029;33;Ouais ben en fait mon quartier c'est  c'est les limites de la banlieue c'est c'est mon quartier il y a une rue qui sépare le vingtième et le quatre-vingt-treize.;
Nawal7_220618.TextGrid;Youssef;695.770;1;Ouais.;
Nawal7_220618.TextGrid;Youssef;696.887;62;Ça et on a une rue qui sépare le vingtième et le quatre-vingt-treize ça veut dire mon quartier il est il fait mon quartier après il est bou- il est il est il est il est grand il fait de porte des Lilas jusqu'à la porte de Bagnolet tu prends une porte de périphérique complète  c'est juste un quartier ça.;
Nawal7_220618.TextGrid;Youssef;714.286;30;Et euh donc il est il est super vaste et il prolonge et voilà r- à l'époque comme je disais je t'ai dit c'était très très chaud@s.;
Nawal7_220618.TextGrid;Youssef;721.874;61;A l'époque entre les les histoires de les les clans de les histoires de clans des territoires  fallait que la cité elle soit grande euh il y avait beaucoup d'histoires ils laissaient personne fallait pas et euh tu pouvais pas agresser des gens dans cette zone il y avait que eux qui avaient le droit d'agresser les gens.;
Nawal7_220618.TextGrid;Youssef;739.250;16;Tu avais pas droit ouais ils y sont à à l'époque c'était comme ça.;
Nawal7_220618.TextGrid;Youssef;743.534;41;Ah n'importe qui il te connait il te connait pas il peut t'agresser si il voit tu as une tête une paire de chaussures que lui il aurait pas pu se la payer il t- il te la prend.;
Nawal7_220618.TextGrid;Youssef;751.962;29;Il il te la prend il t'arrête il va te parler il va dire je t'ai bien aimé et mais vas-y t'es t'enlèves tes chaussures.;
Nawal7_220618.TextGrid;Youssef;760.892;3;Tu es mort.;
Nawal7_220618.TextGrid;Youssef;762.780;11;Un coup de sifflet et tu as dix têtes qui sortent.;
Nawal7_220618.TextGrid;Youssef;766.501;6;C'est un quartier plutôt chaud@s.;
Nawal7_220618.TextGrid;Youssef;768.799;49;Nah là ça s'est calmé après voilà on a toujours des petits microbes il y a toujours des petits des petits microbes c'est les petits  les petits microbes c'est les petits parce que euh les petits de maintenant euh moi j'ai vu dans mon quartier.;
Nawal7_220618.TextGrid;Youssef;782.021;2;Six petits.;
Nawal7_220618.TextGrid;Youssef;783.573;114;Euh six petits plus petits que mon petit frère hein sachant qu'il a quatorze ans j'ai vu des petits de dix douze ans six petits de dix douze ans agresser un mec sur son scooter il était en train de rouler il y en a un qui s'est mis en plein milieu de la route il a fait son lacet en plein milieu de la route le scooter n'a pas voulu euh il va pas dévier il s'arrête il freine il freine il freine il freine il s- il freine juste à temps il il touche pas le petit hein le petit il a fini de faire son lacet.;
Nawal7_220618.TextGrid;Youssef;812.045;88;Il regarde le mec il lui rentre une pèche cinq autres petits qui arrivent ça fait que de le taper le mec il lâche son scoot il tombe par terre ils continuent à le taper pendant que y en a un qui relève le scoot et tu en as trois qui montent sur le scoot et  ils repartent avec son scoot et c'était quoi comme s- un un vespa hein c'était un vespa S c'était un scooter qui deux mille huit cents euros il vaut.;
Nawal7_220618.TextGrid;Youssef;836.701;26;Ouais donc et ça c'est ça c'est pas avant c'est maintenant c'était ça quand je parle de ça ça fait un mois.;
Nawal7_220618.TextGrid;Youssef;844.869;9;Ouais c'est ce qu'on appelle la relève.;
Nawal7_220618.TextGrid;Youssef;847.485;21;Ouais la relève c'est comme ça qu'on les appelle dans n'importe quelle cité n'importe quel euh quartier.;
Nawal7_220618.TextGrid;Youssef;858.132;24;Ouais ben il change beaucoup le c'est pas que le langage de la cité c'est le langage des jeunes il évolue beaucoup.;
Nawal7_220618.TextGrid;Youssef;865.433;6;Il change beaucoup par exemple euh.;
Nawal7_220618.TextGrid;Youssef;868.246;20;Après c'est c'est pas c'est pas le le c'est l'humain c'est c'est normal.;
Nawal7_220618.TextGrid;Youssef;873.675;108;T- par exemple tu vas à l'école  à l'école tu vas pas te retrouver tu es au lycée tu te retrouves pas que dans ton dans ton lycée tu te retrouves pas dans ton quartier avec que des mecs de ton quartier tu vas te retrouver avec un mec du treizième tu vas te retrouver avec un mec du quatorzième il y en a qui vient du quatre-vingt-treize l'autre qui vient du Clichy l'autre qui vient du neuf quatre donc tu vas croiser plein de têtes  et ça ça t'amène à entendre de nouveaux langages  parce que chaque euh chaque coin a son.;
Nawal7_220618.TextGrid;Youssef;899.320;8;Chaque coin a son dialecte on va dire.;
Nawal7_220618.TextGrid;Youssef;902.624;11;Ouais pour moi c'est des dialectes c'est la euh.;
Nawal7_220618.TextGrid;Youssef;905.830;25;Quatre neuf quatre euh il y en a qui vont te parler en narvalo@s  narvalo@s pour certains c'est péjoratif narvalo@s ça veut dire bête.;
Nawal7_220618.TextGrid;Youssef;915.048;7;Et chez certains narvalo@s c'est mec@s.;
Nawal7_220618.TextGrid;Youssef;918.415;24;Eh mec@s tu vois c'est q- c'est si je te dis eh narvalo@s c'est comme si je te disais eh mec@s.;
Nawal7_220618.TextGrid;Youssef;923.459;19;Et et et ben dans le vingtième narvalo@s euh j'ai l- des grands qui le prennent en mal.;
Nawal7_220618.TextGrid;Youssef;929.215;16;Et je et j'en ai qui me disent mais tu es narvalo@s euh tranquille narvalo@s.;
Nawal7_220618.TextGrid;Youssef;933.668;30;Il a rien c'est tu es mon x gars il y a rien gars  c'est comme si je te disais mec@s c'est la même chose  donc euh.;
Nawal7_220618.TextGrid;Youssef;941.572;9;Nan tu euh on peut te parler même juif.;
Nawal7_220618.TextGrid;Youssef;945.467;6;Si on peut parler même juif.;
Nawal7_220618.TextGrid;Youssef;948.225;40;On ben on peut même te sortir des phrases de juifs  des des mots typiques juifs on peut te sortir du rebeu@s on va te sortir euh on peut te sortir de tout on va te dire tu parles deutsch@s.;
Nawal7_220618.TextGrid;Youssef;959.213;6;Tu parles deutch tu parles allemand.;
Nawal7_220618.TextGrid;Youssef;961.089;15;Ça veut dire tu parles chinois  tu parles chinois ça veut dire tu parles euh.;
Nawal7_220618.TextGrid;Youssef;966.098;47;Tu bafouilles on sait pas ce que tu dis tu es tu dis n'importe quoi xx ben entre potos@s entre potes@s ou il y a même quelqu'un qui vient te parler ça nous arrive quoi on sort on va boire un petit verre ou deux.;
Nawal7_220618.TextGrid;Youssef;978.987;17;On se retrouve entre potes il y a des inconnus des mecs euh ils sont bourrés aussi.;
